"Label (Grouping)","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","1,642,579","±3,451","1,642,579","(X)","2,905,822","±5,585","2,905,822","(X)"
"        Married-couple household","793,578","±6,157","48.3%","±0.3","1,456,242","±8,632","50.1%","±0.2"
"            With children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Cohabiting couple household","136,500","±2,806","8.3%","±0.2","232,104","±3,653","8.0%","±0.1"
"            With children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Male householder, no spouse/partner present","288,242","±3,539","17.5%","±0.2","522,827","±4,977","18.0%","±0.2"
"            With children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Householder living alone","196,444","±3,147","12.0%","±0.2","361,183","±4,700","12.4%","±0.2"
"                65 years and over","63,428","±2,008","3.9%","±0.1","100,469","±2,449","3.5%","±0.1"
"        Female householder, no spouse/partner present","424,259","±4,209","25.8%","±0.3","694,649","±4,709","23.9%","±0.2"
"            With children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Householder living alone","252,828","±3,726","15.4%","±0.2","414,425","±4,389","14.3%","±0.2"
"                65 years and over","128,630","±2,343","7.8%","±0.1","199,912","±3,336","6.9%","±0.1"
"        Households with one or more people under 18 years","466,747","±4,039","28.4%","±0.2","882,893","±6,323","30.4%","±0.2"
"        Households with one or more people 65 years and over","519,921","±2,680","31.7%","±0.1","822,658","±3,118","28.3%","±0.1"
"        Average household size","2.49","±0.01","(X)","(X)","2.53","±0.01","(X)","(X)"
"        Average family size","3.02","±0.01","(X)","(X)","3.08","±0.01","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","4,087,588","*****","4,087,588","(X)","7,365,480","*****","7,365,480","(X)"
"        Householder","1,642,579","±3,451","40.2%","±0.1","2,905,822","±5,585","39.5%","±0.1"
"        Spouse","792,943","±6,138","19.4%","±0.2","1,454,404","±8,712","19.7%","±0.1"
"        Unmarried partner","137,203","±2,838","3.4%","±0.1","234,080","±3,890","3.2%","±0.1"
"        Child","1,070,382","±5,368","26.2%","±0.1","2,025,558","±7,105","27.5%","±0.1"
"        Other relatives","228,280","±5,148","5.6%","±0.1","414,496","±7,506","5.6%","±0.1"
"        Other nonrelatives","216,201","±6,092","5.3%","±0.1","331,120","±7,247","4.5%","±0.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","1,702,013","±697","1,702,013","(X)","3,051,503","±684","3,051,503","(X)"
"        Never married","588,498","±4,573","34.6%","±0.3","1,069,249","±6,210","35.0%","±0.2"
"        Now married, except separated","858,168","±6,188","50.4%","±0.4","1,578,027","±8,533","51.7%","±0.3"
"        Separated","20,291","±1,219","1.2%","±0.1","38,166","±1,804","1.3%","±0.1"
"        Widowed","42,137","±1,655","2.5%","±0.1","67,441","±2,040","2.2%","±0.1"
"        Divorced","192,919","±3,395","11.3%","±0.2","298,620","±4,598","9.8%","±0.2"
"    Females 15 years and over","1,755,593","±607","1,755,593","(X)","3,078,254","±629","3,078,254","(X)"
"        Never married","490,211","±4,705","27.9%","±0.3","847,997","±5,791","27.5%","±0.2"
"        Now married, except separated","851,927","±6,303","48.5%","±0.4","1,549,783","±7,579","50.3%","±0.2"
"        Separated","28,900","±1,392","1.6%","±0.1","49,972","±1,866","1.6%","±0.1"
"        Widowed","137,538","±2,559","7.8%","±0.1","224,643","±3,671","7.3%","±0.1"
"        Divorced","247,017","±3,981","14.1%","±0.2","405,859","±5,206","13.2%","±0.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","46,382","±2,217","46,382","(X)","96,936","±2,554","96,936","(X)"
"        Unmarried women (widowed, divorced, and never married)","11,915","±978","25.7%","±1.7","24,833","±1,438","25.6%","±1.2"
"            Per 1,000 unmarried women","22","±2","(X)","(X)","27","±2","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","48","±2","(X)","(X)","55","±1","(X)","(X)"
